_id,title,category, post_type
5d62abaa65218653a132c956,hello there,Plant Biotechnology,blog
5d6d39567fa40e1417a4931c,Ml and AI,Artificial Intelligence|Machine Learning|Information Technology,blog
5d7d23315720533e15c3b1ee,What is an Operating System ?,Operating Systems,blog
5d7d405e5720533e15c3b1f3,Lord Shiva,Drawings,artwork
5d80dfbc6c53455f896e600e,How Competition law evolved?,Competition Laws,blog
5d80e7c16c53455f896e6014,Raghavan Committee - 2002.,Competition Laws,blog
5d80ecfd6c53455f896e601a,Let's discuss some Case laws!,Competition Laws,blog
5d81323a6c53455f896e6044,Forms of Cartel.,Competition Laws,blog
5d9b3514979d5962253c2f90,Biodiversity,Eco System,blog
5d9b950768671220a1b2b153,Economic policy,Economic Policies,blog
5da745b6019399436815c4cd,Corporate design,Graphic|Graphic Design,artwork
5dada695610ba040fbfdf585,Trident,Drawings,artwork
5dada734610ba040fbfdf588,Lord shiva,Drawings,artwork
5dada798610ba040fbfdf58b,Smart City,Painting,artwork
5dada82f610ba040fbfdf58e,Om Namah Shivaay,Pen and ink,artwork
5dada89b610ba040fbfdf591,Kid Bu,Drawings,artwork
5dadf6ae610ba040fbfdf5c8,MIS,Computer Technology|Information Technology,blog
5db2a7d099cbb90e4339c734,Portrait art,Drawings|Painting,artwork
5db2b91a99cbb90e4339c749,CLASSIFYING FORMS OF CARTELS,Competition Laws,blog
5dbc622a99cbb90e4339c7f6,Best friend,Graphic Design|Visual Arts|Illustration|Graphic,artwork
5dbc631f99cbb90e4339c7fd,Calligraphy,Drawings|Calligraphy,artwork
5dc065ca24b883670268772f,Colours of pushkar.,Photography,artwork
5dd1751db802e41ed198b680,Marital Rape - Rape is Rape,Empowerment,blog
5dde6a91369b28584ecca156,Spirituality,Photography,artwork
5ddeb6e80eb5e25a8a07f065,Library Managment System: Software Requirement Specification (SRS),,project
5de179d80eb5e25a8a07f079,Navigation system using BFS DFS algorithms,,project
5de7971b8eab6401affbb137,Shadow Sketch,Drawings,artwork
5de8d73249e8203ff9219a74,Promotional video.,Video editing,skill
5dea816a42a8854bf6eaba89,The Periodic Table,Inorganic Chemistry,blog
5dee9b5042a8854bf6eabaaf,Computer Aided Machine Drawing (CAMD),,project
5df64ad1cc709107827fb3dd,The Chosen,Drawings,artwork
5e04fb252a37d20505da2a2b,Python 3 Programming Introduction,Programming languages,blog
5e1029f22a37d20505da2a79,Chat App UI Desgin,Conceptual|Graphic Design,artwork
5e27002d2a37d20505da2c13,Workforce Diversity as a Challenge,HR Management,blog
5e281cf0025ae20886de2050,Spartan,Drawings,artwork
5e2867f6025ae20886de205a,Human Resource Management,Human Resources|HR Management,blog
5e294fd1c85ab714a7da6643,Personal growth,Mass Media|International Relations,blog
5e2d36ebc85ab714a7da66d1,CONTOURING CLAY,Sculptures|Artistic design,artwork
5e2d3fbfc85ab714a7da66d5,Multipurpose Jewel,Fashion Design|Ceramics|Artistic design,artwork
5e2d447dc85ab714a7da66d7,Traditional and Modern Sports,Craft|Artistic design,artwork
5e2d4737c85ab714a7da66d9,LGBT PRIDE,Fashion Design|Visual Arts|Conceptual|Artistic design,artwork
5e2d4d63c85ab714a7da66db,Magazine Cover Redefined,Photography|Fashion Design|Visual Arts|Graphic Design|Artistic design,artwork
5e2d516fc85ab714a7da66dd,'The Virtual ME',Fashion Design|Visual Arts|Graphic Design|Artistic design|Graphic|Illustration,artwork
5e2f1811c85ab714a7da670d,Abacus,Mathematics|Linear Algebra,blog
5e31a591c85ab714a7da6760,Will AI replace humans intellectual work?,Electronics & electrical Technology|Electrical Machines,blog
5e36746a8d344822fed4d147,ROMAN REIGNS,Drawings,artwork
5e3674c68d344822fed4d152,OM,Drawings,artwork
5e36763d8d344822fed4d15d,MK Swords,Drawings,artwork
5e36db70eab55d319938a6cc,HOW INTERNAL AUDIT WORKS,Auditing|Internal Audit,blog
5e36e7baeab55d319938a6d1,E-Commerce,E Commerce|E Transactions,blog
5e372ee2eab55d319938a6ed,SEO (Search Engine Optimization),Computer Technology|Computation,blog
5e37c087eab55d319938a700,IMPORTANCE OF INTERNAL FINANCIAL CONTROL,Auditing|Internal Financial Control,blog
5e37c301eab55d319938a701,Custom laws,Taxation|Custom Laws,blog
5e37c78aeab55d319938a703,WHY AUDIT EVIDENCE IS NECESSARY?,Auditing|Audit Evidence,blog
5e37ce10eab55d319938a710,GOODS & SERVICE TAX (GST),Taxation|GST,blog
5e37d08ceab55d319938a711,DIRECT TAX,Taxation|Direct Tax,blog
5e37d1afeab55d319938a712,SECRETARIAL AUDIT,Auditing|Secratarial Audit,blog
5e37d490eab55d319938a713,ROLE OF BANKING COMPANIES IN INDIA,Banking|Banking Companies,blog
5e37d699eab55d319938a71a,WHAT NEW TECHNOLOGY DOES BANKS ARE USING TODAY?,Banking|Banking Technology,blog
5e37d8c9eab55d319938a71e,AUDIT REMARK,Auditing|Audit Remark,blog
5e37d9eaeab55d319938a71f,WHY COST AUDIT IS IMPORTANT FOR A COMPANY,Auditing|Cost Audit,blog
5e37dc1aeab55d319938a720,WHAT IS STATUTORY AUDIT,Auditing|Statuary Audit,blog
5e3ab644eab55d319938a72d,Travelling,Photography,artwork
